step,x,y,theta,h0,h1,h2,h3,V0,V1,V2,V3,dVdx0,dVdy0,dVdt0,dVdx1,dVdy1,dVdt1,dVdx2,dVdy2,dVdt2,dVdx3,dVdy3,dVdt3
83,-4.590102,-2.032936,-3.042760,-15.784833,-1.292678,-7.653088,-9.424424,-15.784833,-1.292678,-7.653088,-9.424424,5.180205,6.065873,0.000000,1.180205,2.065873,0.000000,5.180205,2.065873,0.000000,1.180205,6.065873,0.000000
84,-4.727377,-2.045566,-3.133326,-16.591559,-1.499786,-8.409295,-9.682050,-16.591559,-1.499786,-8.409295,-9.682050,5.454755,6.091132,0.000000,1.454755,2.091132,0.000000,5.454755,2.091132,0.000000,1.454755,6.091132,0.000000
85,-4.876276,-2.044266,3.070624,-17.418021,-1.735852,-9.240956,-9.912917,-17.418021,-1.735852,-9.240956,-9.912917,5.752552,6.088533,0.000000,1.752552,2.088533,0.000000,5.752552,2.088533,0.000000,1.752552,6.088533,0.000000
86,-5.000159,-2.037005,2.926785,-18.101857,-1.953199,-9.953835,-10.101220,-18.101857,-1.953199,-9.953835,-10.101220,6.000318,6.074011,0.000000,2.000318,2.074011,0.000000,6.000318,2.074011,0.000000,2.000318,6.074011,0.000000
87,-5.154855,-1.998098,2.890411,-18.819203,-2.207390,-10.826811,-10.199783,-18.819203,-2.207390,-10.826811,-10.199783,6.309710,5.996196,0.000000,2.309710,1.996196,0.000000,6.309710,1.996196,0.000000,2.309710,5.996196,0.000000
88,-5.307769,-1.934875,2.792501,-19.432328,-2.461751,-11.692827,-10.201253,-19.432328,-2.461751,-11.692827,-10.201253,6.615538,5.869751,0.000000,2.615538,1.869751,0.000000,6.615538,1.869751,0.000000,2.615538,5.869751,0.000000
89,-5.465310,-1.848101,2.720961,-19.997558,-2.743911,-12.605153,-10.136316,-19.997558,-2.743911,-12.605153,-10.136316,6.930621,5.696203,0.000000,2.930621,1.696203,0.000000,6.930621,1.696203,0.000000,2.930621,5.696203,0.000000
90,-5.625430,-1.763860,2.566172,-20.660164,-3.103005,-13.604726,-10.158443,-20.660164,-3.103005,-13.604726,-10.138742,7.250860,5.527719,0.000000,3.250860,1.527719,0.000000,7.250860,1.527719,0.000000,3.487047,5.374518,-0.901805
91,-5.791423,-1.655478,2.521489,-21.303948,-3.516347,-14.682038,-10.138257,-21.303948,-3.516347,-14.682038,-10.130947,7.582846,5.310955,0.000000,3.582846,1.310955,0.000000,7.582846,1.310955,0.000000,3.719476,5.213392,-0.537597
92,-5.899931,-1.559147,2.456872,-21.636200,-3.799885,-15.399611,-10.036474,-21.636200,-3.799885,-15.399611,-10.014905,7.799863,5.118294,0.000000,3.799863,1.118294,0.000000,7.799863,1.118294,0.000000,4.027894,4.932107,-0.937309
93,-6.002591,-1.433638,2.420593,-21.820832,-4.075914,-16.086280,-9.810467,-21.820832,-4.075914,-16.086280,-9.800007,8.005183,4.867276,0.000000,4.005183,0.867276,0.000000,8.005183,0.867276,0.000000,4.157442,4.733465,-0.638513
94,-6.132412,-1.292551,2.260211,-22.210123,-4.510269,-17.039918,-9.680474,-22.210123,-4.510269,-17.039918,-9.510254,8.264825,4.585103,0.000000,4.264825,0.585103,0.000000,8.264825,0.585103,0.000000,4.789694,3.948398,-2.561006
95,-6.252845,-1.144270,2.175862,-22.562080,-4.973622,-17.985001,-9.550702,-22.562080,-4.973622,-17.985001,-9.318250,8.505689,4.288540,0.000000,4.505689,0.288540,0.000000,8.505689,0.288540,0.000000,5.054178,3.495466,-2.962780
96,-6.325090,-1.038279,2.083257,-22.738486,-5.285008,-18.585368,-9.438126,-22.738486,-5.285008,-18.585368,-9.033126,8.650180,4.076559,0.000000,4.650180,0.076559,0.000000,8.650180,0.076559,0.000000,5.274260,2.967269,-3.851249
97,-6.382074,-0.903543,2.053173,-22.703547,-5.561079,-19.089373,-9.175253,-22.703547,-5.561079,-19.089373,-8.837309,8.764147,3.807087,0.000000,4.764147,-0.192913,0.000000,8.764147,-0.192913,0.000000,5.303488,2.777094,-3.480179
98,-6.442254,-0.768422,1.906602,-22.738442,-5.895735,-19.664752,-8.969424,-22.696092,-5.895735,-19.664752,-8.221465,9.020107,3.148337,-1.965645,4.884509,-0.463155,0.000000,8.884509,-0.463155,0.000000,5.454257,1.904443,-4.994296
99,-6.489676,-0.616530,1.832504,-22.647855,-6.223034,-20.181736,-8.689152,-22.487958,-6.223034,-20.181736,-7.847608,9.186268,2.460550,-3.802806,4.979351,-0.766941,0.000000,8.979351,-0.766941,0.000000,5.454655,1.458549,-5.186298
100,-6.519772,-0.484134,1.710391,-22.508493,-6.492869,-20.571957,-8.429405,-21.801530,-6.492869,-20.571957,-7.191221,9.273494,1.303246,-7.872736,5.039544,-1.031732,0.000000,9.039544,-1.031732,0.000000,5.317827,0.987723,-5.403531
101,-6.533640,-0.337362,1.645217,-22.219928,-6.735921,-20.870481,-8.085368,-21.226781,-6.735921,-20.870481,-6.794812,9.215985,0.680259,-9.241054,5.067280,-1.325277,0.000000,9.067280,-1.325277,0.000000,5.215985,0.680259,-5.252126
102,-6.541625,-0.202469,1.519343,-21.949791,-6.973415,-21.139916,-7.783290,-20.080882,-6.973415,-21.139916,-6.120102,8.980390,0.407585,-8.947543,5.083251,-1.595062,0.000000,9.083251,-1.595062,0.000000,4.980390,0.407585,-4.952837
